Restaurant Name,Longitude,Latitude
Rudy's Tacos,-92.3772,42.499705
The Screaming Eagle,-92.335523,42.4984
The Thai Bowl,-92.335769,42.497919
Tokyo Japanese Steak House,-92.3234,42.46558
Theo Yianni's Authentic Greek Restaurant,-80.529488,40.396043
Fishpatrick's Crabby Cafe,-124.175346,43.678998
Arigato Sushi,-102.4613173,51.2106824
Denny's,54.38279729,24.49550307
Famous Dave's Barbecue,54.38294616,24.49569253
Pizza Di Rocco,54.38193094,24.48557932
Sofra Istanbul,54.37127855,24.47756501
Salt,54.38080709,24.4543119
Genghis Grill,54.37500816,24.47083582
Olive Garden,54.37332205,24.46936983
Cho Gao - Crowne Plaza Abu Dhabi,54.365694,24.491235
Gazebo,54.52412188,24.33421694
Sangeetha Vegetarian Restaurant,54.36377607,24.48525254
Hot Palayok,54.36615754,24.48277094
Applebee's,54.41314146,24.43409939
Tikka Tonight,54.51003961,24.36312973
Bait El Khetyar,54.37143378,24.48841145
Indian By Nature,54.37324997,24.48959102
Via Delhi,54.37422059,24.49089202
Punjab Grill,54.4872137,24.4106148
Tamba,54.358147,24.488161
P.F. Chang's,54.35782894,24.48761082
The Cheesecake Factory,54.60685361,24.49053138
The Farm,55.310519,25.095044
Maharaja Bhog,55.30919038,25.25124063
Rasoi Ghar,55.3019169,25.25007862
Barbeque Nation,55.215341,25.11338
Farzi Cafe,55.26191946,25.2080323
AB's Absolute Barbecues,55.32874,25.254105
Carnival By Tresind,55.281966,25.211183
AB's Absolute Barbecues,55.17874617,25.10777315
Hard Rock Cafe,55.35147775,25.22399154
The Coffee Club,55.25639722,25.21110278
SALT,55.21152779,25.16812806
Din Tai Fung,55.19854523,25.11851301
SpiceKlub,55.288061,25.252054
Tresind - Nassima Royal Hotel,55.28256778,25.22347744
Grand Barbeque Buffet Restaurant,55.27340334,25.24107351
Red Lobster,55.278525,25.198291
The Cheesecake Factory,55.27856994,25.19726756
Parker's,55.27927805,25.19500831
Applebee's,55.27430557,25.21135663
Grub Shack,55.32548446,25.22931113
Kamat,55.39273214,25.33315516
Vadakkan Pepper,55.396984,25.338089
Gazebo,55.39269626,25.33320395
Katis Restaurant,55.37637066,25.32578908
Zaroob,55.38474888,25.32451353
Derby,55.37086055,25.33045321
Nayaab Haandi,55.37552107,25.32813499
Najmat Lahore Restaurant,55.38215585,25.35508316
Saffron,55.38290787,25.35443539
Pizza Hut,55.37454341,25.30564046
Al Mukhtar Bakery,55.37728127,25.3084117
Aroos Damascus,55.39045796,25.34640794
Nando's,55.376027,25.32188994
Peking Chinese Restaurant,55.39922744,25.34839077
TGI Friday's,55.38781766,25.32774497
Rajasthan Al Malaki,55.45195531,25.2887722
Applebee's,55.37353624,25.29782287
Paper Fig,55.45834266,25.3084123
Sis Burger,55.45425095,25.31127229
Crafted Blends,55.460279,25.310369
Jahanpanah,78.01154444,27.16166111
Rangrezz Restaurant,0.0,0.0
Time2Eat - Mama Chicken,78.01160797,27.16083249
Chokho Jeeman Marwari Jain Bhojanalya,77.99809167,27.19592778
Pinch Of Spice,78.00755278,27.201725
MoMo Cafe,0.0,0.0
Peshawri - ITC Mughal,78.044095,27.160934
